state,year,month,dn,count,avg_brightness,median_frp,max_day_count,max_day_date,pct_night
California,2025,3,A,129,319.61240310077517,16.6,,,0.06976744186046512
California,2025,4,A,232,322.60862068965514,14.5,,,0.017241379310344827
California,2025,5,A,231,333.5735930735931,37.0,,,0.12554112554112554
California,2025,6,A,164,336.3091463414634,30.55,,,0.1402439024390244
California,2025,7,A,986,337.4595334685598,42.150000000000006,,,0.4918864097363083
Colorado,2000,11,A,2,324.1,40.900000000000006,,,0.0
Colorado,2000,12,A,2,315.9,25.650000000000002,,,0.0
Colorado,2001,1,A,6,319.93333333333334,57.9,,,0.0
Colorado,2001,2,A,2,309.65,13.4,,,0.0
Colorado,2001,3,A,14,320.11428571428576,17.75,,,0.14285714285714285
Colorado,2001,4,A,33,327.6181818181818,18.9,,,0.09090909090909091
Colorado,2001,5,A,17,331.13529411764705,38.0,,,0.058823529411764705
Colorado,2001,6,A,5,321.41999999999996,21.7,,,0.0
Colorado,2001,7,A,46,327.92391304347825,34.05,,,0.5434782608695652
Colorado,2001,8,A,13,325.2230769230769,31.4,,,0.5384615384615384
Colorado,2001,9,A,13,328.0615384615385,23.3,,,0.15384615384615385
Colorado,2001,10,A,33,319.4606060606061,21.5,,,0.06060606060606061
Colorado,2001,11,A,8,315.7375,20.9,,,0.0
Colorado,2001,12,A,4,317.45,23.0,,,0.0
Colorado,2002,1,A,4,319.325,52.3,,,0.5
Colorado,2002,2,A,7,312.65714285714284,16.5,,,0.0
Colorado,2002,3,A,16,317.3875,28.6,,,0.0
Colorado,2002,4,A,63,327.12063492063487,20.8,,,0.015873015873015872
Colorado,2002,5,A,17,327.34117647058827,22.1,,,0.47058823529411764
Colorado,2002,6,A,722,351.0573407202216,67.80000000000001,,,0.6094182825484764
Colorado,2002,7,A,307,353.2788273615635,75.1,,,0.5732899022801303
Colorado,2002,8,A,479,359.5630480167015,94.8,,,0.3903966597077244
Colorado,2002,9,A,34,339.48823529411766,58.85,,,0.38235294117647056
Colorado,2002,10,A,17,317.5176470588235,24.9,,,0.11764705882352941
Colorado,2002,11,A,8,317.4625,20.0,,,0.0
Colorado,2002,12,A,11,321.1636363636364,24.6,,,0.0
Colorado,2003,1,A,7,320.25714285714287,18.5,,,0.0
Colorado,2003,2,A,6,311.1166666666667,10.0,,,0.0
Colorado,2003,3,A,69,326.6376811594203,15.6,,,0.014492753623188406
Colorado,2003,4,A,39,331.35128205128206,33.9,,,0.07692307692307693
Colorado,2003,5,A,31,329.6161290322581,22.9,,,0.03225806451612903
Colorado,2003,6,A,9,324.55555555555554,23.1,,,0.0
Colorado,2003,7,A,201,342.17512437810944,53.8,,,0.3333333333333333
Colorado,2003,8,A,24,347.0416666666667,34.2,,,0.125
Colorado,2003,9,A,61,333.5147540983607,31.4,,,0.06557377049180328
Colorado,2003,10,A,65,330.70153846153846,33.3,,,0.015384615384615385
Colorado,2003,11,A,7,337.3,135.2,,,0.0
Colorado,2003,12,A,6,312.01666666666665,27.0,,,0.0
Colorado,2004,1,A,6,318.15000000000003,38.95,,,0.0
Colorado,2004,2,A,3,323.7,18.9,,,0.0
Colorado,2004,3,A,151,324.23973509933774,22.4,,,0.006622516556291391
Colorado,2004,4,A,56,332.1017857142857,36.9,,,0.26785714285714285
Colorado,2004,5,A,63,333.35238095238094,39.0,,,0.0
Colorado,2004,6,A,59,359.42203389830513,81.6,,,0.15254237288135594
Colorado,2004,7,A,51,357.421568627451,78.8,,,0.11764705882352941
Colorado,2004,8,A,24,338.03749999999997,60.599999999999994,,,0.375
Colorado,2004,9,A,54,339.24444444444447,42.65,,,0.0
Colorado,2004,10,A,23,320.4,21.5,,,0.0
Colorado,2004,11,A,5,318.73999999999995,10.2,,,0.2
Colorado,2004,12,A,14,316.4214285714285,20.299999999999997,,,0.0
Colorado,2005,1,A,5,319.0,29.7,,,0.0
Colorado,2005,2,A,32,315.4875,11.3,,,0.0
Colorado,2005,3,A,83,320.2578313253012,20.6,,,0.0
Colorado,2005,4,A,68,323.8323529411765,15.25,,,0.0
Colorado,2005,5,A,89,334.6539325842697,37.6,,,0.0
Colorado,2005,6,A,24,331.33750000000003,27.75,,,0.0
Colorado,2005,7,A,131,351.1587786259542,60.7,,,0.22137404580152673
Colorado,2005,8,A,22,338.6318181818182,49.95,,,0.09090909090909091
Colorado,2005,9,A,40,335.5225,34.25,,,0.025
Colorado,2005,10,A,26,318.55384615384617,15.15,,,0.0
Colorado,2005,11,A,33,326.7090909090909,33.7,,,0.0
Colorado,2005,12,A,11,313.1909090909091,19.7,,,0.0
Colorado,2006,1,A,31,395.416129032258,271.4,,,0.8064516129032258
Colorado,2006,2,A,38,318.39473684210526,26.5,,,0.0
Colorado,2006,3,A,56,321.2160714285714,19.1,,,0.0
Colorado,2006,4,A,127,333.85275590551186,33.2,,,0.0
Colorado,2006,5,A,42,331.41190476190474,31.0,,,0.11904761904761904
Colorado,2006,6,A,93,354.2516129032258,123.4,,,0.26881720430107525
Colorado,2006,7,A,37,346.5216216216216,65.4,,,0.10810810810810811
Colorado,2006,8,A,2,320.20000000000005,26.9,,,0.5
Colorado,2006,9,A,14,319.20714285714286,19.5,,,0.0
Colorado,2006,10,A,6,334.05,72.0,,,0.0
Colorado,2006,11,A,31,317.3806451612903,24.3,,,0.0
Colorado,2007,1,A,5,325.71999999999997,45.7,,,0.2
Colorado,2007,3,A,37,326.0108108108108,15.1,,,0.0
Colorado,2007,4,A,67,327.1283582089552,30.8,,,0.029850746268656716
Colorado,2007,5,A,50,332.87199999999996,33.0,,,0.0
Colorado,2007,6,A,43,346.01162790697674,71.8,,,0.046511627906976744
Colorado,2007,7,A,19,335.3578947368421,47.0,,,0.3157894736842105
Colorado,2007,8,A,14,335.7142857142857,33.1,,,0.35714285714285715
Colorado,2007,9,A,64,333.203125,37.900000000000006,,,0.0625
Colorado,2007,10,A,84,325.575,29.95,,,0.0
Colorado,2007,11,A,74,322.93243243243245,21.25,,,0.0
Colorado,2007,12,A,12,317.53333333333336,23.55,,,0.0
Colorado,2008,1,A,4,327.275,30.0,,,0.0
Colorado,2008,2,A,11,313.97272727272724,19.4,,,0.0
Colorado,2008,3,A,74,321.42027027027024,18.05,,,0.0
Colorado,2008,4,A,122,331.17540983606557,27.25,,,0.10655737704918032
Colorado,2008,5,A,81,337.34814814814814,64.6,,,0.012345679012345678
Colorado,2008,6,A,93,336.8516129032258,39.9,,,0.3333333333333333
Colorado,2008,7,A,45,337.29777777777775,58.8,,,0.3111111111111111
Colorado,2008,8,A,204,352.8833333333333,76.9,,,0.1715686274509804
Colorado,2008,9,A,103,332.3611650485437,44.5,,,0.05825242718446602
Colorado,2008,10,A,97,325.3701030927835,25.5,,,0.020618556701030927
Colorado,2008,11,A,27,315.85185185185185,14.3,,,0.0
Colorado,2008,12,A,6,317.68333333333334,23.049999999999997,,,0.0
Colorado,2009,1,A,19,323.2368421052632,35.2,,,0.05263157894736842
Colorado,2009,2,A,35,318.5,23.1,,,0.02857142857142857
Colorado,2009,3,A,55,323.1909090909091,20.3,,,0.0
Colorado,2009,4,A,31,332.6741935483871,41.1,,,0.0
Colorado,2009,5,A,64,331.971875,31.549999999999997,,,0.0
Colorado,2009,6,A,23,331.3565217391304,38.8,,,0.0
Colorado,2009,7,A,52,341.4769230769231,68.15,,,0.38461538461538464
Colorado,2009,8,A,109,347.30825688073395,62.3,,,0.1926605504587156
Colorado,2009,9,A,26,333.0076923076923,26.8,,,0.038461538461538464
Colorado,2009,10,A,46,326.7326086956522,39.599999999999994,,,0.0
Colorado,2009,11,A,33,321.4969696969697,27.4,,,0.0
Colorado,2009,12,A,9,320.9111111111111,29.8,,,0.0
Colorado,2010,1,A,11,319.3454545454546,15.6,,,0.0
Colorado,2010,2,A,7,319.35714285714283,22.3,,,0.0
Colorado,2010,3,A,51,320.25686274509803,17.7,,,0.0
Colorado,2010,4,A,85,324.29411764705884,21.1,,,0.0
Colorado,2010,5,A,63,338.5571428571428,41.2,,,0.0
Colorado,2010,6,A,42,352.0190476190476,56.35,,,0.07142857142857142
Colorado,2010,7,A,49,339.8448979591837,56.7,,,0.20408163265306123
Colorado,2010,8,A,19,332.7315789473684,51.7,,,0.0
Colorado,2010,9,A,129,349.03333333333336,81.7,,,0.05426356589147287
Colorado,2010,10,A,58,328.35172413793106,31.65,,,0.06896551724137931
Colorado,2010,11,A,42,319.1380952380952,22.6,,,0.0
Colorado,2010,12,A,14,314.88571428571424,27.950000000000003,,,0.07142857142857142
Colorado,2011,1,A,8,314.0125,15.7,,,0.0
Colorado,2011,2,A,20,316.665,22.45,,,0.0
Colorado,2011,3,A,73,319.9616438356164,14.9,,,0.0
Colorado,2011,4,A,75,335.74399999999997,37.8,,,0.28
Colorado,2011,5,A,94,347.3936170212766,66.0,,,0.13829787234042554
Colorado,2011,6,A,227,351.59295154185025,85.1,,,0.43171806167400884
Colorado,2011,7,A,18,347.4611111111111,63.45,,,0.0
Colorado,2011,8,A,97,336.95463917525774,41.0,,,0.13402061855670103
Colorado,2011,9,A,38,331.3842105263158,30.55,,,0.0
Colorado,2011,10,A,33,326.5090909090909,28.2,,,0.0
Colorado,2011,11,A,20,318.885,23.6,,,0.0
Colorado,2011,12,A,9,317.6333333333333,29.9,,,0.0
Colorado,2012,1,A,6,319.3,17.6,,,0.0
Colorado,2012,2,A,43,322.9139534883721,28.3,,,0.0
Colorado,2012,3,A,147,326.40816326530614,19.1,,,0.0
Colorado,2012,4,A,49,334.1918367346939,33.1,,,0.0
